,Date,Open,High,Low,Close,Adj. Close,Volume
45,"May 11, 2020","2,374.70","2,419.67","2,372.11","2,409.00","2,409.00","3,253,700"
46,"May 08, 2020","2,372.14","2,387.24","2,357.00","2,379.61","2,379.61","3,211,200"
47,"May 07, 2020","2,374.78","2,376.00","2,343.11","2,367.61","2,367.61","3,396,400"
48,"May 06, 2020","2,329.44","2,357.45","2,320.00","2,351.26","2,351.26","3,117,800"
49,"May 05, 2020","2,340.00","2,351.00","2,307.13","2,317.80","2,317.80","3,242,500"
50,"May 04, 2020","2,256.38","2,326.98","2,256.38","2,315.99","2,315.99","4,865,900"
51,"May 01, 2020","2,336.80","2,362.44","2,258.19","2,286.04","2,286.04","9,772,600"
52,"Apr 30, 2020","2,419.84","2,475.00","2,396.01","2,474.00","2,474.00","9,415,000"
53,"Apr 29, 2020","2,330.01","2,391.89","2,310.00","2,372.71","2,372.71","4,591,600"
54,"Apr 28, 2020","2,372.10","2,373.50","2,306.00","2,314.08","2,314.08","5,269,400"
55,"Apr 27, 2020","2,443.20","2,444.88","2,363.00","2,376.00","2,376.00","5,645,600"
56,"Apr 24, 2020","2,417.00","2,420.43","2,382.00","2,410.22","2,410.22","3,831,800"
57,"Apr 23, 2020","2,399.98","2,424.22","2,382.08","2,399.45","2,399.45","5,066,600"
58,"Apr 22, 2020","2,369.00","2,394.00","2,351.00","2,363.49","2,363.49","4,218,300"
59,"Apr 21, 2020","2,416.61","2,428.31","2,279.66","2,328.12","2,328.12","7,476,700"
60,"Apr 20, 2020","2,389.95","2,444.98","2,386.05","2,393.61","2,393.61","5,770,700"
61,"Apr 17, 2020","2,372.33","2,400.00","2,316.02","2,375.00","2,375.00","7,930,000"
62,"Apr 16, 2020","2,346.00","2,461.00","2,335.00","2,408.19","2,408.19","12,038,200"
63,"Apr 15, 2020","2,257.68","2,333.37","2,245.00","2,307.68","2,307.68","6,866,600"
64,"Apr 14, 2020","2,200.47","2,292.00","2,186.21","2,283.32","2,283.32","8,087,200"
65,"Apr 13, 2020","2,040.00","2,180.00","2,038.00","2,168.87","2,168.87","6,716,700"
66,"Apr 09, 2020","2,044.30","2,053.00","2,017.66","2,042.76","2,042.76","4,655,600"
67,"Apr 08, 2020","2,021.00","2,044.00","2,011.15","2,043.00","2,043.00","3,977,300"
68,"Apr 07, 2020","2,017.11","2,035.72","1,997.62","2,011.60","2,011.60","5,114,000"
69,"Apr 06, 2020","1,936.00","1,998.52","1,930.02","1,997.59","1,997.59","5,773,200"
70,"Apr 03, 2020","1,911.15","1,926.33","1,889.15","1,906.59","1,906.59","3,609,900"
71,"Apr 02, 2020","1,901.64","1,927.53","1,890.00","1,918.83","1,918.83","4,336,000"
72,"Apr 01, 2020","1,932.97","1,944.96","1,893.00","1,907.70","1,907.70","4,121,900"
73,"Mar 31, 2020","1,964.35","1,993.02","1,944.01","1,949.72","1,949.72","5,123,600"
74,"Mar 30, 2020","1,922.83","1,973.63","1,912.34","1,963.95","1,963.95","6,126,100"
75,"Mar 27, 2020","1,930.86","1,939.79","1,899.92","1,900.10","1,900.10","5,387,900"
76,"Mar 26, 2020","1,902.00","1,956.49","1,889.29","1,955.49","1,955.49","6,221,300"
77,"Mar 25, 2020","1,920.69","1,950.26","1,885.78","1,885.84","1,885.84","6,479,100"
78,"Mar 24, 2020","1,951.50","1,955.00","1,900.34","1,940.10","1,940.10","7,147,100"
79,"Mar 23, 2020","1,827.75","1,919.40","1,812.00","1,902.83","1,902.83","7,808,500"
80,"Mar 20, 2020","1,926.31","1,957.00","1,820.73","1,846.09","1,846.09","9,817,900"
81,"Mar 19, 2020","1,860.00","1,945.00","1,832.65","1,880.93","1,880.93","10,399,900"
82,"Mar 18, 2020","1,750.00","1,841.66","1,745.00","1,830.00","1,830.00","9,645,200"
83,"Mar 17, 2020","1,775.47","1,857.78","1,689.24","1,807.84","1,807.84","10,917,100"
84,"Mar 16, 2020","1,641.51","1,759.45","1,626.03","1,689.15","1,689.15","8,917,300"
85,"Mar 13, 2020","1,755.00","1,786.31","1,680.62","1,785.00","1,785.00","8,809,700"
86,"Mar 12, 2020","1,721.98","1,765.00","1,675.00","1,676.61","1,676.61","11,346,200"
87,"Mar 11, 2020","1,857.85","1,871.32","1,801.50","1,820.86","1,820.86","5,624,800"
88,"Mar 10, 2020","1,870.88","1,894.27","1,818.17","1,891.82","1,891.82","7,133,300"
89,"Mar 09, 2020","1,773.86","1,862.77","1,761.29","1,800.61","1,800.61","7,813,200"
90,"Mar 06, 2020","1,875.00","1,910.87","1,869.50","1,901.09","1,901.09","5,273,600"
91,"Mar 05, 2020","1,933.00","1,960.72","1,910.00","1,924.03","1,924.03","4,748,200"
92,"Mar 04, 2020","1,946.57","1,978.00","1,922.00","1,975.83","1,975.83","4,772,900"
93,"Mar 03, 2020","1,975.37","1,996.33","1,888.09","1,908.99","1,908.99","7,534,500"
94,"Mar 02, 2020","1,906.49","1,954.51","1,870.00","1,953.95","1,953.95","6,761,700"
95,"Feb 28, 2020","1,814.63","1,889.76","1,811.13","1,883.75","1,883.75","9,493,800"
96,"Feb 27, 2020","1,934.38","1,975.00","1,882.76","1,884.30","1,884.30","8,112,100"
97,"Feb 26, 2020","1,970.28","2,014.67","1,960.45","1,979.59","1,979.59","5,224,600"
98,"Feb 25, 2020","2,026.42","2,034.60","1,958.42","1,972.74","1,972.74","6,219,100"
99,"Feb 24, 2020","2,003.18","2,039.30","1,987.97","2,009.29","2,009.29","6,547,000"
100,"Feb 21, 2020","2,142.15","2,144.55","2,088.00","2,095.97","2,095.97","4,646,300"
101,"Feb 20, 2020","2,173.07","2,176.79","2,127.45","2,153.10","2,153.10","3,131,300"
102,"Feb 19, 2020","2,167.80","2,185.10","2,161.12","2,170.22","2,170.22","2,561,200"
103,"Feb 18, 2020","2,125.02","2,166.07","2,124.11","2,155.67","2,155.67","2,945,600"
104,"Feb 14, 2020","2,155.68","2,159.04","2,125.89","2,134.87","2,134.87","2,606,200"
105,"Feb 13, 2020","2,144.99","2,170.28","2,142.00","2,149.87","2,149.87","3,031,800"
106,"Feb 12, 2020","2,163.20","2,180.25","2,155.29","2,160.00","2,160.00","3,334,300"
107,"Feb 11, 2020","2,150.90","2,185.95","2,136.00","2,150.80","2,150.80","5,746,000"
108,"Feb 10, 2020","2,085.01","2,135.60","2,084.96","2,133.91","2,133.91","5,056,200"
109,"Feb 07, 2020","2,041.99","2,098.53","2,038.10","2,079.28","2,079.28","5,095,300"
110,"Feb 06, 2020","2,041.02","2,056.30","2,024.80","2,050.23","2,050.23","3,183,000"
111,"Feb 05, 2020","2,071.02","2,071.02","2,032.00","2,039.87","2,039.87","4,376,200"
112,"Feb 04, 2020","2,029.88","2,059.80","2,015.37","2,049.67","2,049.67","5,289,300"
113,"Feb 03, 2020","2,010.60","2,048.50","2,000.25","2,004.20","2,004.20","5,899,100"
114,"Jan 31, 2020","2,051.47","2,055.72","2,002.27","2,008.72","2,008.72","15,567,300"
115,"Jan 30, 2020","1,858.00","1,872.87","1,850.61","1,870.68","1,870.68","6,327,400"
116,"Jan 29, 2020","1,864.00","1,874.75","1,855.02","1,858.00","1,858.00","2,088,000"
117,"Jan 28, 2020","1,840.50","1,858.11","1,830.02","1,853.25","1,853.25","2,808,000"
118,"Jan 27, 2020","1,820.00","1,841.00","1,815.34","1,828.34","1,828.34","3,528,500"
119,"Jan 24, 2020","1,891.37","1,894.99","1,847.44","1,861.64","1,861.64","3,766,200"
120,"Jan 23, 2020","1,885.11","1,889.98","1,872.76","1,884.58","1,884.58","2,484,600"
